nH,nHBDon,nRot,nRing,nAromAtom,nSpiro,SLogP,WPath,WPol,Zagreb1,Zagreb2,MW,nHa,nHBDonA,nRotA,nRingA,nAromAtomA,nSpiroA,SLogPA,WPathA,WPolA,Zagreb1A,Zagreb2A,MWA,"Duration, Sec","Agitation Speed, RPM",Molar ratio,Sample Ratio,"Microwave power, Hz","Temperature, C",Extraction Efficiency 3
5,0,0,1,5,0,-0.1849,26,2,26,27,83.04834716,8,3,2,0,0,0,-1.6681,31,4,20,19,92.04734412,25,50,01:01,01:02,50,25,65
5,0,0,1,5,0,-0.1849,26,2,26,27,83.04834716,12,5,1,1,0,0,-3.2214,182,19,58,68,180.0633881,35,75,01:02,01:03,100,30,62
5,0,0,1,5,0,-0.1849,26,2,26,27,83.04834716,12,5,4,0,0,0,-2.9463,125,12,40,43,152.0684735,45,100,01:03,01:01,150,35,71
5,0,0,1,5,0,-0.1849,26,2,26,27,83.04834716,4,2,2,0,0,0,-0.4543,48,4,26,24,104.0109586,60,125,02:01,01:04,75,40,45
5,0,0,1,5,0,-0.1849,26,2,26,27,83.04834716,14,6,5,0,0,0,-3.5854,206,16,50,55,182.0790382,75,150,02:02,01:05,65,27,51
4,2,2,0,0,0,-0.4543,48,4,26,24,104.0109586,8,3,2,0,0,0,-1.6681,31,4,20,19,92.04734412,90,200,01:04,00:01,120,32,59
4,2,2,0,0,0,-0.4543,48,4,26,24,104.0109586,12,5,1,1,0,0,-3.2214,182,19,58,68,180.0633881,120,250,02:03,02:01,125,37,55
8,1,1,1,6,0,-2.7867,1000000117,11,46,50,173.0243562,6,2,1,0,0,0,-1.029,10,1,10,8,62.03677943,25,50,01:01,01:02,50,25,45
8,1,1,1,6,0,-2.7867,1000000117,11,46,50,173.0243562,14,2,4,0,0,0,0.5298,76,6,28,27,118.0993797,35,75,01:02,01:03,100,30,49
8,1,1,1,6,0,-2.7867,1000000117,11,46,50,173.0243562,10,2,2,0,0,0,-0.2504,31,4,20,19,90.06807956,45,100,01:01,01:01,75,30,42
12,1,2,0,0,0,-2.5529,4000000082,5,54,48,214.0390817,6,2,1,0,0,0,-1.029,10,1,10,8,62.03677943,60,125,02:01,01:04,75,40,36
12,1,2,0,0,0,-2.5529,4000000082,5,54,48,214.0390817,14,2,4,0,0,0,0.5298,76,6,28,27,118.0993797,75,150,02:02,01:05,65,27,58
12,1,2,0,0,0,-2.5529,4000000082,5,54,48,214.0390817,10,2,2,0,0,0,-0.2504,31,4,20,19,90.06807956,90,200,01:04,00:01,120,32,38
8,3,2,0,0,0,-1.6681,31,4,20,19,92.04734412,10,2,2,0,0,0,-0.2504,31,4,20,19,90.06807956,120,250,02:03,02:01,125,37,32
12,1,2,0,0,0,-2.5529,4000000082,5,54,48,214.0390817,14,1,2,0,0,0,-0.3151,46,4,28,26,104.1069905,25,50,01:01,01:02,50,25,32
12,1,2,0,0,0,-2.5529,4000000082,5,54,48,214.0390817,2,2,0,0,0,0,-0.8444,29,4,22,21,89.99530854,35,75,01:02,01:03,100,30,37
14,1,2,0,0,0,-3.3111,700000046,4,28,26,139.0763917,14,1,2,0,0,0,-0.3151,46,4,28,26,104.1069905,45,100,01:01,01:01,75,30,41
14,1,2,0,0,0,-3.3111,700000046,4,28,26,139.0763917,2,2,0,0,0,0,-0.8444,29,4,22,21,89.99530854,60,125,02:01,01:04,75,40,47
20,0,4,0,0,0,-1.1132,900000088,12,36,40,165.1284273,14,1,2,0,0,0,-0.3151,46,4,28,26,104.1069905,75,150,02:02,01:05,65,27,38
20,0,4,0,0,0,-1.1132,900000088,12,36,40,165.1284273,2,2,0,0,0,0,-0.8444,29,4,22,21,89.99530854,90,200,01:04,00:01,120,32,52
